flask,fish,fish_ID,population,dpf,treatment,il1bcq1,il1bcq2,il1bcq3,il1bmean_cq,il1bmean_efficiency_cq,il1bnormalized_expression,il1brelative_normalized_expression,il1bsqrtexpression,il1blogexpression,il1bregulation,il1bcompared_to_regulation_threshold,il1bp-value,il1bexceeds_p-value_threshold,tnfcq1,tnfcq2,tnfcq3,tnfmean_cq,tnfmean_efficiency_cq,tnfnormalized_expression,tnfrelative_normalized_expression,tnfsqrtexpression,tnflogexpression,tnfregulation,tnfcompared_to_regulation_threshold,tnfp-value,tnfexceeds_p-value_threshold,plate,run_date,initial_rna_conc,,
A5,10,10_12,BP,14,control,24.56778135,24.72078042,24.539178,24.60924659,24.60924659,16.31982248,2.698931599,1.642842536,0.431191878,2.698931599,No change,8.83E-05,No,24.44301718,24.59982884,24.43696074,24.49326892,24.49326892,17.68594165,2.839852455,1.685186178,0.453295777,2.839852455,No change,8.27E-05,No,3,8/21/19,64.6,,
A6,1,1_3,BP,14,control,25.02552136,24.98335386,24.96920102,24.99269208,24.99269208,12.62847036,2.088464978,1.445152234,0.319827197,2.088464978,No change,5.23E-06,No,24.73718384,24.89420862,24.94532423,24.85890556,24.85890556,13.85557344,2.224805727,1.491578267,0.347292094,2.224805727,No change,0.000348986,No,3,8/21/19,110,,
A6,4,4_6,BP,14,control,26.90891004,27.08353826,27.10913099,27.03385976,27.03385976,4.606691646,1.120864239,1.05870876,0.049553013,1.120864239,No change,0.077340146,Yes,26.72251735,26.63124056,27.05566166,26.80313986,26.80313986,5.405585683,1.015986005,1.007961311,0.006887726,1.015986005,No change,0.919053037,Yes,4,4/10/19,91.2,,
A6,7,7_9,BP,14,control,27.28643421,27.15589755,27.21813635,27.22015604,27.22015604,0.06532646,2.573949945,1.604353435,0.410600097,2.573949945,No change,3.41E-05,No,27.04658516,27.05710055,27.20562386,27.10310319,27.10310319,0.070847665,3.745752928,1.935394773,0.573539128,3.745752928,No change,3.75E-05,No,1,4/8/19,53.4,,
A6,10,10_12,BP,14,control,27.40867405,27.35346509,27.59510925,27.45241613,27.45241613,3.893300752,0.947287537,0.973286976,-0.023518176,-1.055645684,No change,0.363062256,Yes,27.15398871,27.19920287,27.33851171,27.23056776,27.23056776,4.54047162,0.853386829,0.923789385,-0.068854064,-1.17180154,No change,0.210816749,Yes,4,4/10/19,64.6,,
A1,1,1_3,BP,28,control,23.17335348,23.20888885,23.98868978,23.45697737,23.45697737,10.18735141,0.404804062,0.636242141,-0.392755138,-2.47033094,No change,0.001150542,No,23.35212561,23.38356891,23.2362105,23.32396834,23.32396834,11.17123005,0.60034038,0.774816352,-0.221602444,-1.665721703,No change,0.000103699,No,1,8/22/19,48.2,,
A1,4,4_6,BP,28,control,23.9455482,23.81818592,23.90895343,23.89089585,23.89089585,4.860249649,3.209262053,1.791441334,0.506405181,3.209262053,No change,1.50E-05,No,23.90392567,23.92455983,24.05438959,23.96095836,23.96095836,4.629857874,3.336045322,1.826484416,0.523231942,3.336045322,No change,NaN,No,3,8/26/19,69.8,,
A1,7,7_9,BP,28,control,26.7933259,26.71147849,26.76891105,26.75790514,26.75790514,2.932435378,1.865032989,1.365662106,0.270686518,1.865032989,No change,1.43E-05,No,26.51788756,26.65815384,26.5448819,26.5736411,26.5736411,3.331942169,1.494995439,1.222700061,0.174639868,1.494995439,No change,0.000639244,No,2,8/22/19,158,,
A2,1,1_3,BP,28,oil,23.50023037,23.51267809,23.44688441,23.48659762,23.48659762,10.82858668,0.430284154,0.655960482,-0.366244647,-2.324045614,No change,2.22E-06,No,23.33226924,23.2402912,23.48067035,23.35107693,23.35107693,11.8950856,0.639240279,0.799525033,-0.194335868,-1.564356993,No change,0.00053677,No,1,8/22/19,170,,
A2,4,4_6,BP,28,oil,25.01094785,25.16558589,25.09709775,25.0912105,25.0912105,1.832906742,1.210283109,1.100128678,0.082886972,1.210283109,No change,0.008969755,No,25.22330431,25.25704798,25.35784446,25.27939892,25.27939892,1.608755371,1.15918911,1.076656449,0.064154293,1.15918911,No change,NaN,No,3,8/26/19,38.4,,
A2,7,7_9,BP,28,oil,23.30147085,23.37967303,23.43027,23.37047129,23.37047129,10.50695498,6.937827134,2.633975538,0.841223475,6.937827134,Up regulated,5.32E-06,No,23.5802668,23.70023421,23.84440029,23.70830043,23.70830043,8.313428516,5.990243128,2.447497319,0.77744445,5.990243128,Up regulated,NaN,No,3,8/26/19,250,,
A2,10,10_12,BP,28,oil,27.2400446,27.33629597,27.34199889,27.30611315,27.30611315,2.370011514,1.507330627,1.22773394,0.178208524,1.507330627,No change,0.000167605,No,26.85476405,26.89803985,27.10229379,26.95169923,26.95169923,3.029979418,1.359509013,1.165979851,0.133382091,1.359509013,No change,0.008477063,No,2,8/22/19,116,,
A3,1,1_3,BP,28,oil,25.35861447,25.21529076,25.29401343,25.28930622,25.28930622,1.044286989,0.664167981,0.814965018,-0.177722065,-1.505643194,No change,0.000130089,No,24.81930962,24.74237661,25.02206691,24.86125105,24.86125105,1.4050032,0.630405112,0.793980549,-0.200380274,-1.586281553,No change,0.001155461,No,2,8/22/19,21.2,,
A3,4,4_6,BP,28,oil,25.09737755,25.01545243,24.95827172,25.02370056,25.02370056,3.181643946,0.126425637,0.35556383,-0.898164849,-7.909788089,Down regulated,3.10E-07,No,24.7371549,24.77657711,25.0968493,24.87019377,24.87019377,3.53884651,0.190177129,0.436093028,-0.720841713,-5.258255843,Down regulated,3.85E-06,No,1,8/22/19,51.4,,
A3,7,7_9,BP,28,oil,26.37153337,26.59343841,26.42957334,26.46484837,26.46484837,1.706675165,0.067816355,0.260415735,-1.168665556,-14.74570551,Down regulated,2.31E-07,No,26.60777942,26.76732479,26.84864817,26.74125079,26.74125079,1.409111794,0.075725476,0.275182623,-1.120757988,-13.20559548,Down regulated,8.91E-07,No,1,8/22/19,76,,
A3,10,10_12,BP,28,oil,24.45597692,24.3826696,24.43226291,24.42363647,24.42363647,4.357047694,2.771088409,1.664658646,0.442650382,2.771088409,No change,2.19E-06,No,24.18736714,24.1149358,24.18310561,24.16180285,24.16180285,5.224107301,2.343983236,1.531007262,0.369954501,2.343983236,No change,8.58E-06,No,2,8/22/19,29.2,,
A4,1,1_3,BP,28,oil,22.34839463,22.38796644,22.38721516,22.37452541,22.37452541,8.857693544,2.810956833,1.676590836,0.448854176,2.810956833,No change,1.70E-06,No,22.76673371,22.61672444,22.80920043,22.73088619,22.73088619,6.919032429,2.232542045,1.49416935,0.348799647,2.232542045,No change,0.000560064,No,4,8/26/19,55.2,,
A4,4,4_6,BP,28,oil,25.92713031,26.00181012,26.0422013,25.99038058,25.99038058,1.51444462,1,1,0,1,No change,NaN,No,NaN,25.99418956,26.23849121,26.11634038,26.11634038,1.38782823,1,1,0,1,No change,NaN,No,3,8/26/19,171,,
A4,7,7_9,BP,28,oil,24.77794915,24.92952018,24.79107155,24.83284696,24.83284696,3.151131117,1,1,0,1,No change,NaN,No,24.63314215,24.93642081,25.00093841,24.85683379,24.85683379,3.099172284,1,1,0,1,No change,NaN,No,4,8/26/19,95.2,,
A4,10,10_12,BP,28,oil,25.59114235,25.59553755,25.56644437,25.58437475,25.58437475,2.413402647,0.095898841,0.30967538,-1.018186642,-10.42765467,Down regulated,2.34E-07,No,25.89170473,25.93348171,25.93995536,25.92171393,25.92171393,1.91020762,0.102654297,0.320397093,-0.988622867,-9.741433419,Down regulated,9.24E-07,No,1,8/22/19,125,,
A5,1,1_3,BP,28,control,25.22352013,25.1064706,25.13341071,25.15446715,25.15446715,2.2944392,0.091171716,0.301946545,-1.040139871,-10.96831391,Down regulated,2.42E-07,No,25.08174921,25.04746411,25.02648302,25.05189878,25.05189878,2.463500813,0.132388198,0.36385189,-0.878150729,-7.553543415,Down regulated,1.06E-06,No,1,8/22/19,342,,
A5,4,4_6,BP,28,control,22.84039372,22.7598407,22.77808885,22.79277442,22.79277442,16.63234353,10.57819367,3.252413515,1.024411514,10.57819367,Up regulated,7.15E-07,No,22.83886194,22.83696529,22.8537787,22.84320197,22.84320197,16.06102438,7.206355027,2.684465501,0.857715654,7.206355027,Up regulated,7.86E-09,No,2,8/22/19,126,,
A5,7,7_9,BP,28,control,23.17254928,23.22740148,23.17303247,23.19099441,23.19099441,13.84414536,9.141400868,3.023474966,0.961012754,9.141400868,Up regulated,2.56E-07,No,23.20447669,23.35963001,23.35995657,23.30802109,23.30802109,12.76549356,9.198179782,3.032850109,0.963701894,9.198179782,Up regulated,NaN,No,3,8/26/19,192,,
A5,10,10_12,BP,28,control,23.4988619,23.58878526,23.4486616,23.51210292,23.51210292,16.290752,10.75691497,3.279773616,1.031687736,10.75691497,Up regulated,5.65E-06,No,23.71762484,23.77559111,24.0196712,23.83762905,23.83762905,13.0001392,9.367253759,3.060596961,0.971612285,9.367253759,Up regulated,NaN,No,3,8/26/19,72.6,,
A6,1,1_3,BP,28,control,22.95347726,22.90463463,23.02420741,22.9607731,22.9607731,11.42025853,7.540888838,2.746067887,0.877422539,7.540888838,Up regulated,3.60E-06,No,22.60743108,22.74012604,23.0192135,22.78892354,22.78892354,12.86494127,9.269836853,3.044640677,0.967072091,9.269836853,Up regulated,NaN,No,3,8/26/19,48,,
A6,4,4_6,BP,28,control,23.74385957,23.75365546,23.64251135,23.71334212,23.71334212,8.385533526,5.333211015,2.309374594,0.726988767,5.333211015,Up regulated,5.37E-06,No,23.70751871,23.82626631,23.82122985,23.78500496,23.78500496,7.979175863,3.580143627,1.892126747,0.55390045,3.580143627,No change,1.39E-05,No,2,8/22/19,63,,
A6,7,7_9,BP,28,control,22.02614687,22.08946068,22.06050945,22.05870567,22.05870567,25.16612938,1,1,0,1,No change,NaN,No,22.54412791,22.45794125,22.48069157,22.49425358,22.49425358,18.60816034,1,1,0,1,No change,NaN,No,1,8/22/19,46.4,,
A6,10,10_12,BP,28,control,26.22086522,26.19883499,26.26245247,26.22738423,26.22738423,1.572323597,1,1,0,1,No change,NaN,No,25.73354012,25.65448234,25.78415788,25.72406011,25.72406011,2.228730658,1,1,0,1,No change,NaN,No,2,8/22/19,140,,
