flask,fish,population,dpf,treatment,snv,ed,sbl,sba,il1bcq1,il1bcq2,il1bcq3,il1bmean_cq,il1bmean_efficiency_cq,il1bnormalized_expression,il1brelative_normalized_expression,il1bsqrtexpression,il1blogexpression,il1bregulation,il1bcompared_to_regulation_threshold,il1bp-value,il1bexceeds_p-value_threshold,tnfcq1,tnfcq2,tnfcq3,tnfmean_cq,tnfmean_efficiency_cq,tnfnormalized_expression,tnfrelative_normalized_expression,tnfsqrtexpression,tnflogexpression,tnfregulation,tnfcompared_to_regulation_threshold,tnfp-value,tnfexceeds_p-value_threshold,plate,run_date
A2,7,BP,14,oil,4.071,0.67,0.784,0.227,26.02228561,26.08287137,26.08532965,26.06349554,26.06349554,4.109946134,1,1,0,1,No change,,No,25.92809113,25.44053357,25.70450916,25.69104462,25.69104462,5.320531637,1,1,0,1,No change,,No,4,4/10/19
A2,8,BP,14,oil,4.202,0.669,0.784,0.254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A2,9,BP,14,oil,4.113,0.671,0.749,0.227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A2,10,BP,14,oil,4.288,0.671,0.775,0.201,26.65302812,26.59505773,26.54882224,26.59896936,26.59896936,0.057946453,0.668846688,0.817830476,-0.174673419,-1.49511094,No change,0.005598533,No,26.31478576,26.41591995,26.46458107,26.39842892,26.39842892,0.066587934,0.991566126,0.995774134,-0.003678318,-1.008505609,No change,0.73657582,Yes,2,4/9/19
A2,11,BP,14,oil,4.203,0.682,0.778,0.258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A2,12,BP,14,oil,4.225,0.71,0.79,0.252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A3,1,BP,14,oil,4.31,0.686,0.964,0.246,25.94349702,25.98881536,26.03618389,25.98949876,25.98949876,0.201031331,2.320403295,1.523287003,0.365563473,2.320403295,No change,5.82E-05,No,26.07838702,26.23419389,26.14249765,26.15169285,26.15169285,0.179654649,2.675251397,1.635619576,0.427364599,2.675251397,No change,0.008196763,No,2,4/9/19
A3,2,BP,14,oil,4.279,0.659,0.76,0.226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A3,3,BP,14,oil,4.148,0.676,0.645,0.243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A3,4,BP,14,oil,4.173,0.658,0.797,0.233,25.62370795,25.65404769,25.73907962,25.67227842,25.67227842,0.146339273,5.765963231,2.401242018,0.760871869,5.765963231,Up regulated,4.70E-06,No,25.84542998,25.87212025,25.90994791,25.87583272,25.87583272,0.127082265,6.718905507,2.592085166,0.827298533,6.718905507,Up regulated,4.98E-07,No,1,4/8/19
A3,5,BP,14,oil,4.224,0.674,0.831,0.257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A3,6,BP,14,oil,4.368,0.687,0.908,0.195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A3,7,BP,14,oil,4.223,0.676,0.801,0.236,26.22342109,26.11800577,26.28068889,26.20737192,26.20737192,0.045291242,1.784535568,1.335865101,0.251525208,1.784535568,No change,0.000370315,No,26.43196787,26.72738205,26.67355123,26.61096705,26.61096705,0.034238915,1.810229256,1.345447604,0.257733579,1.810229256,No change,0.002850094,No,1,4/8/19
A3,8,BP,14,oil,4.334,0.685,0.86,0.275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A3,9,BP,14,oil,4.477,0.702,0.952,0.313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A3,10,BP,14,oil,4.466,0.728,0.97,0.246,26.52142112,26.41771043,26.42732641,26.45548599,26.45548599,6.04677143,1,1,0,1,No change,NAN,No,26.49246288,26.28391506,26.46242971,26.41293588,26.41293588,6.227767788,1,1,0,1,No change,NAN,No,3,8/21/19
A3,11,BP,14,oil,4.146,0.644,0.81,0.219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A3,12,BP,14,oil,4.473,0.716,0.923,0.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A4,1,BP,14,oil,4.11,0.65,0.909,0.28,26.52145128,26.79884139,26.67124808,26.66384691,26.66384691,6.453126586,1.57012437,1.253046037,0.195934054,1.57012437,No change,0.002949724,No,26.77627859,26.5918402,26.79920138,26.72244006,26.72244006,6.196292209,1.1646002,1.079166438,0.06617686,1.1646002,No change,0.235287831,Yes,4,4/10/19
A4,2,BP,14,oil,4.24,0.683,0.751,0.242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A4,3,BP,14,oil,4.253,0.662,0.659,0.158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A4,4,BP,14,oil,4.295,0.705,0.848,0.312,26.4045252,26.70643287,26.45075828,26.52057212,26.52057212,4.501718547,0.744483002,0.862834284,-0.128145214,-1.343214012,No change,0.008418414,No,26.59813486,26.65172296,26.6856122,26.64515667,26.64515667,4.129283032,0.663043834,0.814275036,-0.178457759,-1.508195912,No change,0.002054932,No,3,8/21/19
A4,5,BP,14,oil,4.158,0.675,0.91,0.284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A4,6,BP,14,oil,4.363,0.714,0.885,0.232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A4,7,BP,14,oil,4.289,0.696,0.869,0.336,27.10600123,27.12088712,27.11279386,27.1132274,27.1132274,5.884969033,1.431884711,1.196613852,0.155908052,1.431884711,No change,8.71E-06,No,26.88978014,26.80000203,27.12199138,26.93725785,26.93725785,6.648387073,1.249571946,1.117842541,0.096761266,1.249571946,No change,0.127944207,Yes,4,4/10/19
A4,8,BP,14,oil,4.217,0.696,0.832,0.312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A4,9,BP,14,oil,4.05,0.652,0.828,0.237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A4,10,BP,14,oil,4.109,0.68,0.603,0.203,26.6765805,26.7154036,26.71198026,26.70132145,26.70132145,0.101470019,3.998054579,1.999513586,0.601848719,3.998054579,No change,5.14E-07,No,27.24272725,27.29606374,27.50414863,27.34764654,27.34764654,0.064829774,3.427583887,1.851373514,0.534988093,3.427583887,No change,0.000214899,No,1,4/8/19
A4,11,BP,14,oil,4.182,0.677,0.853,0.275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A4,12,BP,14,oil,4.438,0.695,0.887,0.321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A5,1,BP,14,control,4.35,0.69,0.838,0.265,27.48832462,27.63631314,NAN,27.59494414,27.59494414,0.025379848,1,1,0,1,No change,NAN,No,28.05088581,27.90081325,28.10579006,28.01916304,28.01916304,0.018914132,1,1,0,1,No change,,No,1,4/8/19
A5,2,BP,14,control,4.217,0.685,0.851,0.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A5,3,BP,14,control,4.173,0.676,0.688,0.186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A5,4,BP,14,control,4.305,0.718,0.919,0.276,25.98603604,25.998958,26.06716051,26.01738485,26.01738485,7.539398284,1.834427517,1.354410395,0.263500556,1.834427517,No change,1.80E-05,No,25.7011953,25.99750036,26.08205981,25.92691849,25.92691849,8.027305191,1.508741182,1.22830826,0.178614745,1.508741182,No change,0.033151863,Yes,4,4/10/19
A5,5,BP,14,control,4.314,0.694,0.875,0.284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A5,6,BP,14,control,4.405,0.698,0.641,0.247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A5,7,BP,14,control,4.263,0.682,0.762,0.223,26.67365456,26.58305201,26.65690332,26.63786997,26.63786997,3.426892962,0.566731024,0.752815398,-0.246623013,-1.764505486,No change,6.72E-05,No,26.37598939,26.40126724,26.25159049,26.34294904,26.34294904,4.204173051,0.675069012,0.821625835,-0.170651827,-1.481330029,No change,0.003079801,No,3,8/21/19
A5,8,BP,14,control,4.327,0.691,0.796,0.287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A5,9,BP,14,control,4.406,0.697,0.915,0.317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A5,10,BP,14,control,4.401,0.691,0.684,0.253,24.56778135,24.72078042,24.539178,24.60924659,24.60924659,16.31982248,2.698931599,1.642842536,0.431191878,2.698931599,No change,8.83E-05,No,24.44301718,24.59982884,24.43696074,24.49326892,24.49326892,17.68594165,2.839852455,1.685186178,0.453295777,2.839852455,No change,8.27E-05,No,3,8/21/19
A5,11,BP,14,control,4.367,0.685,0.838,0.315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A5,12,BP,14,control,4.384,0.685,0.639,0.257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A6,1,BP,14,control,4.437,0.718,1,0.292,25.02552136,24.98335386,24.96920102,24.99269208,24.99269208,12.62847036,2.088464978,1.445152234,0.319827197,2.088464978,No change,5.23E-06,No,24.73718384,24.89420862,24.94532423,24.85890556,24.85890556,13.85557344,2.224805727,1.491578267,0.347292094,2.224805727,No change,0.000348986,No,3,8/21/19
A6,2,BP,14,control,4.513,0.738,0.954,0.324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A6,3,BP,14,control,4.186,0.673,0.84,0.225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A6,4,BP,14,control,4.253,0.673,0.866,0.199,26.90891004,27.08353826,27.10913099,27.03385976,27.03385976,4.606691646,1.120864239,1.05870876,0.049553013,1.120864239,No change,0.077340146,Yes,26.72251735,26.63124056,27.05566166,26.80313986,26.80313986,5.405585683,1.015986005,1.007961311,0.006887726,1.015986005,No change,0.919053037,Yes,4,4/10/19
A6,5,BP,14,control,4.319,0.678,0.878,0.217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A6,6,BP,14,control,4.344,0.671,0.854,0.245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A6,7,BP,14,control,4.477,0.699,0.942,0.345,27.28643421,27.15589755,27.21813635,27.22015604,27.22015604,0.06532646,2.573949945,1.604353435,0.410600097,2.573949945,No change,3.41E-05,No,27.04658516,27.05710055,27.20562386,27.10310319,27.10310319,0.070847665,3.745752928,1.935394773,0.573539128,3.745752928,No change,3.75E-05,No,1,4/8/19
A6,8,BP,14,control,4.386,0.667,0.905,0.282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A6,9,BP,14,control,4.366,0.69,0.88,0.244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A6,10,BP,14,control,4.446,0.697,0.863,0.25,27.40867405,27.35346509,27.59510925,27.45241613,27.45241613,3.893300752,0.947287537,0.973286976,-0.023518176,-1.055645684,No change,0.363062256,Yes,27.15398871,27.19920287,27.33851171,27.23056776,27.23056776,4.54047162,0.853386829,0.923789385,-0.068854064,-1.17180154,No change,0.210816749,Yes,4,4/10/19
A6,11,BP,14,control,4.269,0.662,0.598,0.195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A6,12,BP,14,control,4.485,0.687,0.996,0.306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A1,1,BP,28,control,6.2,0.9,1.36,0.6,23.17335348,23.20888885,23.98868978,23.45697737,23.45697737,10.18735141,0.404804062,0.636242141,-0.392755138,-2.47033094,No change,0.001150542,No,23.35212561,23.38356891,23.2362105,23.32396834,23.32396834,11.17123005,0.60034038,0.774816352,-0.221602444,-1.665721703,No change,0.000103699,No,1,8/22/19
A1,2,BP,28,control,4.5,0.71,0.97,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A1,3,BP,28,control,4.61,0.73,1.01,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A1,4,BP,28,control,4.48,0.73,1.07,0.3,23.9455482,23.81818592,23.90895343,23.89089585,23.89089585,4.860249649,3.209262053,1.791441334,0.506405181,3.209262053,No change,1.50E-05,No,23.90392567,23.92455983,24.05438959,23.96095836,23.96095836,4.629857874,3.336045322,1.826484416,0.523231942,3.336045322,No change,NAN,No,3,8/26/19
A1,5,BP,28,control,5.83,0.87,1.35,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A1,6,BP,28,control,5.14,0.79,1.17,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A1,7,BP,28,control,5.6,0.79,1.29,0.4,26.7933259,26.71147849,26.76891105,26.75790514,26.75790514,2.932435378,1.865032989,1.365662106,0.270686518,1.865032989,No change,1.43E-05,No,26.51788756,26.65815384,26.5448819,26.5736411,26.5736411,3.331942169,1.494995439,1.222700061,0.174639868,1.494995439,No change,0.000639244,No,2,8/22/19
A1,8,BP,28,control,5.3,0.84,1.2,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A2,1,BP,28,oil,6.2,0.9,1.5,0.6,23.50023037,23.51267809,23.44688441,23.48659762,23.48659762,10.82858668,0.430284154,0.655960482,-0.366244647,-2.324045614,No change,2.22E-06,No,23.33226924,23.2402912,23.48067035,23.35107693,23.35107693,11.8950856,0.639240279,0.799525033,-0.194335868,-1.564356993,No change,0.00053677,No,1,8/22/19
A2,2,BP,28,oil,5.71,0.88,1.33,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A2,3,BP,28,oil,5.27,0.77,1.1,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A2,4,BP,28,oil,5.69,0.85,1.39,0.5,25.01094785,25.16558589,25.09709775,25.0912105,25.0912105,1.832906742,1.210283109,1.100128678,0.082886972,1.210283109,No change,0.008969755,No,25.22330431,25.25704798,25.35784446,25.27939892,25.27939892,1.608755371,1.15918911,1.076656449,0.064154293,1.15918911,No change,NAN,No,3,8/26/19
A2,5,BP,28,oil,4.64,0.71,1.08,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A2,6,BP,28,oil,5.42,0.8,1.29,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A2,7,BP,28,oil,4.64,0.75,0.99,0.3,23.30147085,23.37967303,23.43027,23.37047129,23.37047129,10.50695498,6.937827134,2.633975538,0.841223475,6.937827134,Up regulated,5.32E-06,No,23.5802668,23.70023421,23.84440029,23.70830043,23.70830043,8.313428516,5.990243128,2.447497319,0.77744445,5.990243128,Up regulated,NAN,No,3,8/26/19
A2,8,BP,28,oil,6.58,0.91,1.78,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A2,9,BP,28,oil,5.93,0.91,1.42,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A2,10,BP,28,oil,4.93,0.8,1.15,0.4,27.2400446,27.33629597,27.34199889,27.30611315,27.30611315,2.370011514,1.507330627,1.22773394,0.178208524,1.507330627,No change,0.000167605,No,26.85476405,26.89803985,27.10229379,26.95169923,26.95169923,3.029979418,1.359509013,1.165979851,0.133382091,1.359509013,No change,0.008477063,No,2,8/22/19
A2,11,BP,28,oil,5.6,0.82,1.25,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A2,12,BP,28,oil,5.8,0.83,1.34,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A3,1,BP,28,oil,4.85,0.78,1.13,0.3,25.35861447,25.21529076,25.29401343,25.28930622,25.28930622,1.044286989,0.664167981,0.814965018,-0.177722065,-1.505643194,No change,0.000130089,No,24.81930962,24.74237661,25.02206691,24.86125105,24.86125105,1.4050032,0.630405112,0.793980549,-0.200380274,-1.586281553,No change,0.001155461,No,2,8/22/19
A3,2,BP,28,oil,5.37,0.83,1.31,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A3,3,BP,28,oil,5.48,0.84,1.27,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A3,4,BP,28,oil,5.19,0.81,1.22,0.4,25.09737755,25.01545243,24.95827172,25.02370056,25.02370056,3.181643946,0.126425637,0.35556383,-0.898164849,-7.909788089,Down regulated,3.10E-07,No,24.7371549,24.77657711,25.0968493,24.87019377,24.87019377,3.53884651,0.190177129,0.436093028,-0.720841713,-5.258255843,Down regulated,3.85E-06,No,1,8/22/19
A3,5,BP,28,oil,5.78,0.85,1.42,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A3,6,BP,28,oil,4.76,0.73,1.01,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A3,7,BP,28,oil,4.29,0.72,0.82,0.2,26.37153337,26.59343841,26.42957334,26.46484837,26.46484837,1.706675165,0.067816355,0.260415735,-1.168665556,-14.74570551,Down regulated,2.31E-07,No,26.60777942,26.76732479,26.84864817,26.74125079,26.74125079,1.409111794,0.075725476,0.275182623,-1.120757988,-13.20559548,Down regulated,8.91E-07,No,1,8/22/19
